FREQ;GEO;UNIT;OBJECTIV\TIME_PERIOD,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;SE;PC_GDP;OBJ01,0.1 ,0.083 ,0.076 ,0.087 ,0.143 ,0.187 ,0.217 ,0.258 ,0.283 ,0.134 ,0.199 ,0.139 ,0.127 ,0.118 ,0.135 ,0.239 ,0.108 ,0.11 
A;SI;PC_GDP;OBJ01,0.021 ,0.049 ,0.045 ,0.056 ,0.042 ,0.141 ,0.145 ,0.107 ,0.21 ,0.381 ,0.233 ,0.363 ,0.32 ,0.146 ,0.178 ,0.073 ,0.054 ,0.048 
A;SK;PC_GDP;OBJ01,0.342 ,0.193 ,0.187 ,0.359 ,0.364 ,0.343 ,0.333 ,0.211 ,0.27 ,0.167 ,0.166 ,0.16 ,0.094 ,0.098 ,0.14 ,0.272 ,0.214 ,0.076 
A;UK;PC_GDP;OBJ01,0.046 ,0.031 ,0.033 ,0.046 ,0.061 ,0.038 ,0.027 ,0.027 ,0.02 ,0.016 ,0.026 ,0.017 ,0.014 ,0.016 ,0.034 ,0.035 ,0.015 ,0.014 
A;AT;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;BE;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;BG;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;CY;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;CZ;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DE;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DK;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EE;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EL;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;ES;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
